"Field Name","Source Layer (Incoming JavaScript Object Notation Payload)","Validation Layer (Django REST Framework Serializer)","Logic Gate (Deconstructed Clean Yes/No Decision Library)","Streaming Pipeline (Google Cloud Pub/Sub Apache Avro Schema)","Storage Layer (Google Cloud BigQuery D1 Staged Enforced Table)","Description and Business Rule Constraint"
"student_id","String (Required, Non-empty)","serializers.CharField(max_length=30, allow_blank=False, trim_whitespace=True)","Passed through upon validation","String (Required)","STRING (REQUIRED)","Unique student identifier string. Must not be blank and maximum length is 30 characters."
"full_name","String (Required, Non-empty)","serializers.CharField(max_length=100, allow_blank=False, trim_whitespace=True)","Passed through upon validation","String (Required)","STRING (REQUIRED)","Full legal name of the student. Whitespace is trimmed and maximum length is 100 characters."
"email","String (Required, Valid Email Address Format)","serializers.EmailField(max_length=254)","Passed through upon validation","String (Required)","STRING (REQUIRED)","Primary student contact electronic mail address. Must be a valid standard electronic mail format."
"owner_email","Not present in client payload (Generated server-side from student email)","Derived from validated student email field in the view layer","Assigned student email address","String (Required)","STRING (REQUIRED)","Identity column used by Google Cloud BigQuery Row-Level Security policy (owner_email = SESSION_USER())."
"guardian_consent","Boolean (Required, True or False)","serializers.BooleanField()","Binary check: Must equal True (Yes / No)","Not published to analytics sink","Stored in transactional database table","Legal guardian consent confirmation. Evaluated by binary logic gate; required for onboarding approval."
"learning_difficulty","String (Required, Allowed Selection)","serializers.CharField(max_length=50, allow_blank=False)","Selection check: Must belong to permitted categories (Yes / No)","Not published to analytics sink","Stored in transactional database table","Declared educational accommodation requirement. Permitted values: none, dyslexia, dyscalculia, attention deficit hyperactivity disorder, autism, other."
"age_band","String (Required, Allowed Selection)","serializers.CharField(max_length=20, allow_blank=False)","Categorical check: Must equal under_13, 13_to_17, or 18_plus (Yes / No)","Not published to analytics sink","Stored in transactional database table","Student chronological age category used to enforce appropriate guardian consent rules."
"emergency_contact","String (Required, 10 to 15 digits)","serializers.CharField(max_length=15, allow_blank=False)","Format check: Must contain 10 to 15 numeric digits (Yes / No)","Not published to analytics sink","Stored in transactional database table","Emergency contact telephone number for student safety and rapid contact protocol."
"data_sharing_consent","Boolean (Required, True or False)","serializers.BooleanField()","Binary check: Must equal True (Yes / No)","Not published to analytics sink","Stored in transactional database table","Explicit student consent to share educational data in compliance with data privacy regulations."
"course","Not present in client payload (Injected server-side)","Defaulted to constant 'Habot Connect'","Assigned constant course name","String (Required)","STRING (REQUIRED)","Title of educational program enrolled by the onboarding student."
"status","Not present in client payload (Injected server-side)","Defaulted to 'accepted' upon passing all binary validation gates","Generated based on Deconstructed Clean Yes/No decision outcome","String (Required)","STRING (REQUIRED)","Current state of the onboarding record in the data warehouse pipeline."
"created_at","Not present in client payload (Generated server-side)","datetime.now(timezone.utc).isoformat()","Generated timestamp","String (Required, ISO-8601 Timestamp)","TIMESTAMP (REQUIRED)","Universal Coordinated Time timestamp recorded at event publication time."
"schema_version","Not present in client payload (Injected server-side)","Constant value '1.0'","Assigned schema contract version","Union of Null and String (Default is Null)","STRING (NULLABLE)","Semantic contract version identifier used for downstream analytics schema evolution."
